function_id,function
1,Marketing
2,Customer Service
3,
4,Sales
5,Health Care Provider
6,Management
7,Information Technology
8,Other
9,Engineering
10,Administrative
11,Design
12,Production
13,Education
14,Supply Chain
15,Business Development
16,Product Management
17,Financial Analyst
18,Consulting
19,Human Resources
20,Project Management
21,Manufacturing
22,Public Relations
23,Strategy/Planning
24,Advertising
25,Finance
26,General Business
27,Research
28,Accounting/Auditing
29,Art/Creative
30,Quality Assurance
31,Data Analyst
32,Business Analyst
33,Writing/Editing
34,Distribution
35,Science
36,Training
37,Purchasing
38,Legal
